TIM_DAY,ITE_ADD_NEIGHBORHOOD_NAME,OPERACION,LONGITUDE,LATITUDE,SIT_CURRENCY_ID,ITE_SITE_CURRENT_PRICE,ITE_BASE_CURRENT_PRICE,Ambientes,Dormitorios,SConstrM2,STotalM2,ITE_AUCTION_START,ITE_AUCTION_STOP,TIPOPROPIEDAD
11/29/2023,,Venta,"-58,5457003","-34,6181312",DOL,54405000,60000,3,2,55,55,01/13/2023,12/12/2023,Departamento
11/29/2023,,Venta,"-58,5612429","-34,6092125",DOL,77073750,85000,3,2,67,75,06/11/2023,12/08/2023,Departamento
11/27/2023,CASEROS,Alquiler,"-58,5659541","-34,6127945",ARG,136500,"381,7114094",2,1,70,100,11/09/2023,02/07/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5589689","-34,6061959",DOL,81607500,90000,3,2,65,68,10/25/2023,04/23/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5672134","-34,6067483",DOL,54405000,60000,2,1,33,33,10/25/2023,04/23/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5670649","-34,6068209",DOL,136012500,150000,3,2,78,140,10/25/2023,04/23/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5641525","-34,6085171",DOL,53044875,58500,2,1,49,53,11/17/2023,05/15/2024,Departamento
11/29/2023,CASEROS,Venta,"-61,3497918","-37,9852584",DOL,108810000,120000,3,2,165,303,11/17/2023,05/15/2024,Casa
11/26/2023,CASEROS,Venta,"-58,5536342","-34,6106307",DOL,77073750,85000,3,2,48,70,11/22/2023,05/19/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5632044","-34,6083952",DOL,49871250,55000,2,1,36,39,10/25/2023,04/23/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5598948","-34,6041523",DOL,36270000,40000,1,0,27,27,02/23/2023,12/22/2023,Departamento
11/27/2023,CASEROS,Venta,"-58,5728352","-34,6209505",DOL,99742500,110000,8,5,197,500,10/17/2022,11/28/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5683999","-34,6072646",DOL,40803750,45000,1,0,29,33,11/07/2023,05/06/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,4871299","-34,5974825",DOL,54405000,60000,2,1,40,40,10/07/2023,04/04/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5569514","-34,6083864",DOL,32643000,36000,1,0,36,36,11/15/2023,05/13/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5737822","-34,6199622",DOL,38083500,42000,3,2,50,90,12/27/2022,12/09/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5673589","-34,605568",DOL,135105750,149000,4,3,95,109,10/26/2023,04/23/2024,Departamento
11/29/2023,CASEROS,Venta,"-59,0897865","-36,7749176",DOL,53498250,59000,2,1,39,42,11/17/2023,05/15/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,38083500,42000,2,1,32,32,06/22/2023,12/19/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5589857","-34,6081237",DOL,44430750,49000,2,1,33,35,10/12/2023,04/09/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5640001","-34,6098413",DOL,53498250,59000,2,,30,35,11/17/2023,11/16/2024,Oficina
11/29/2023,CIUDADELA,Venta,"-58,5310406","-34,6406582",DOL,71633250,79000,3,2,58,107,11/01/2023,12/01/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5634269","-34,5991159",DOL,172282500,190000,3,2,129,264,09/06/2023,03/04/2024,Casa
11/29/2023,,Venta,"-58,560331","-34,602823",DOL,86141250,95000,3,2,57,60,07/17/2023,01/13/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,560543","-34,6074239",DOL,"33957787,5",37450,2,1,34,40,10/12/2023,04/09/2024,Departamento
11/29/2023,,Venta,"-58,5576193","-34,5994762",DOL,22668750,25000,2,1,39,39,09/13/2023,03/11/2024,Departamento
11/26/2023,CASEROS,Venta,"-58,563206","-34,6407561",DOL,59845500,66000,2,1,39,47,11/24/2023,05/22/2024,Departamento
11/29/2023,,Venta,"-58,5495645","-34,6181195",DOL,54314325,59900,3,2,70,74,10/25/2022,12/04/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5511375","-34,6088819",DOL,33549750,37000,0,,20,20,11/17/2023,11/16/2024,Oficina
11/29/2023,,Venta,"-58,5709305","-34,6107369",DOL,104276250,115000,4,3,116,128,07/13/2023,01/09/2024,Casa
11/29/2023,,Venta,"-58,5634631","-34,6094827",DOL,"48375112,5",53350,2,1,49,57,11/14/2023,05/12/2024,Departamento
11/29/2023,SAENZ PENA,Venta,"-58,5014089","-34,5860211",DOL,54405000,60000,2,1,35,44,11/28/2023,05/26/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5610149","-34,6153168",DOL,122411250,135000,3,2,72,73,11/02/2023,04/30/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5668101","-34,5975539",DOL,98835750,109000,3,2,75,160,03/09/2023,12/22/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5614138","-34,6022208",DOL,58938750,65000,2,1,36,75,11/19/2023,05/17/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5651454","-34,5975164",DOL,"36791381,25",40575,1,0,27,30,11/17/2023,05/15/2024,Departamento
11/29/2023,,Venta,"-58,5642475","-34,5993185",DOL,67099500,74000,2,1,50,57,11/15/2022,12/02/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5764723","-34,6093618",DOL,126945000,140000,4,3,115,135,05/25/2022,01/18/2024,Casa
11/29/2023,CASEROS,Venta,"-58,559268","-34,608994",DOL,154147500,170000,2,1,104,289,10/25/2023,04/23/2024,Casa
11/29/2023,,Venta,"-58,5634631","-34,6094827",DOL,56218500,62000,2,1,61,94,03/21/2023,12/29/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5511375","-34,6088819",DOL,181350000,200000,0,,137,365,11/17/2023,11/16/2024,Oficina
11/29/2023,CASEROS,Venta,"-58,5634631","-34,6094827",DOL,58938750,65000,2,1,40,42,09/26/2023,03/24/2024,Departamento
11/29/2023,,Venta,"-58,5634631","-34,6094827",DOL,87954750,97000,3,2,88,103,10/29/2023,04/26/2024,Departamento
11/29/2023,LOMA HERMOSA,Venta,"-58,5961408","-34,5659518",DOL,81607500,90000,4,3,180,158,10/03/2023,03/31/2024,Casa
11/27/2023,CASEROS,Venta,"-58,5644433","-34,6002475",DOL,74353500,82000,3,2,55,58,10/26/2022,11/28/2023,Departamento
11/29/2023,CASEROS,Venta,"-58,5467528","-34,6128465",DOL,61659000,68000,3,2,100,120,07/13/2022,10/15/2023,Casa
11/29/2023,CASEROS,Venta,"-58,5746917","-34,594599",DOL,126038250,139000,4,3,140,220,11/21/2023,05/19/2024,Casa
11/29/2023,,Venta,"-58,5634613","-34,6094818",DOL,234848250,259000,4,3,215,398,10/03/2023,03/31/2024,Casa
11/29/2023,CASEROS,Venta,"-58,5662118","-34,6008931",DOL,39897000,44000,2,1,30,30,10/17/2023,05/08/2024,Departamento
11/29/2023,CASEROS,Venta,"-58,5665769","-34,6057296",DOL,108810000,120000,3,2,64,69,11/22/2023,05/20/2024,Departamento
