TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-08-28T00:00:00Z,2024-08-22T09:36:49.942000,45616.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,290000,290000.0,2780633921,2024-08,1295.36,"c(-58.5617726, -34.5996375)",FALSE,290000,223.88,7250,5.6,7250,5.6,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-29T11:45:10.058000,45623.0,Inmobiliaria,Alquiler,35,35,1,1,NA,Departamento,ARG,220000,220000.0,1893246319,2024-08,1295.36,"c(-58.571289, -34.5897298)",FALSE,220000,169.84,6285.71,4.85,6285.71,4.85,DP,22,14,06840010,Villa Bosch,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-19T06:00:11.341000,45553.0,Fsbo,Alquiler,29,27,0,1,NA,Departamento,ARG,225000,225000.0,2773295989,2024-08,1295.36,"c(-58.562755, -34.599309)",FALSE,225000,173.7,7758.62,5.99,8333.33,6.43,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-24T01:04:47.389000,45617.0,Inmobiliaria,Alquiler,41,36,1,2,NA,Departamento,ARG,250000,250000.0,2784272977,2024-08,1295.36,"c(-58.5507714, -34.5938432)",FALSE,250000,193,6097.56,4.71,6944.44,5.36,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-06-26T13:07:55.807000,2024-09-28T23:09:53.252000,Inmobiliaria,Alquiler,33,29,2,3,NA,Departamento,ARG,260000,260000.0,2650601793,2024-08,1295.36,"c(-58.5556111, -34.6117878)",FALSE,260000,200.72,7878.79,6.08,8965.52,6.92,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-13T00:00:00Z,2024-07-30T09:47:08.612000,45593.0,Inmobiliaria,Alquiler,32,28,0,1,NA,Departamento,ARG,220000,220000.0,1879946591,2024-08,1295.36,"c(-58.5628413, -34.6095373)",FALSE,220000,169.84,6875,5.31,7857.14,6.07,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-06T00:00:00Z,2024-08-05T16:13:42.363000,45599.0,Inmobiliaria,Alquiler,54,47,2,3,NA,Departamento,ARG,550000,550000.0,1882420535,2024-08,1295.36,"c(-58.5467344, -34.5990645)",FALSE,550000,424.59,10185.19,7.86,11702.13,9.03,NA,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-19T00:00:00Z,2024-07-03T09:55:55.276000,45566.0,Inmobiliaria,Alquiler,90,70,2,3,NA,Departamento,ARG,370000,370000.0,2665886625,2024-08,1295.36,"c(-58.5407434, -34.6403059)",FALSE,370000,285.63,4111.11,3.17,5285.71,4.08,DP,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-02T00:00:00Z,45418.731828703705,45508.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,210000,210000.0,1850214543,2024-08,1295.36,"c(-58.5509197, -34.5935154)",FALSE,210000,162.12,5250,4.05,5250,4.05,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-25T00:00:00Z,2024-07-19T11:44:48.991000,45582.0,Inmobiliaria,Alquiler,28,28,0,1,NA,Departamento,ARG,270000,270000.0,1876767115,2024-08,1295.36,"c(-58.5642606, -34.6090108)",FALSE,270000,208.44,9642.86,7.44,9642.86,7.44,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-09T10:43:25.486000,2024-11-10T12:11:05.172000,Inmobiliaria,Alquiler,34,30,0,1,NA,Departamento,ARG,235000,235000.0,1884773967,2024-08,1295.36,"c(-58.5654995, -34.6029182)",FALSE,235000,181.42,6911.76,5.34,7833.33,6.05,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-16T16:47:50.576000,45610.0,Inmobiliaria,Alquiler,45,45,1,1,NA,Departamento,ARG,180000,180000.0,2770482521,2024-08,1295.36,"c(-58.5653437, -34.6234673)",FALSE,180000,138.96,4000,3.09,4000,3.09,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
