TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-11-20T00:00:00Z,"2024-10-07T08:54:33,758000","2025-01-11T15:35:29,017000",Inmobiliaria,Alquiler,65,65,1,1,Departamento,ARG,260000,260000,1908072431,2024-11,1106,"c(-58.577306, -34.6165928)",FALSE,260000,235.08,4000,3.62,4000,3.62,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-17T00:00:00Z,"2024-11-12T08:54:50,637000",2025-02-10T00:00:00,Inmobiliaria,Alquiler,48,42,1,2,Departamento,ARG,300000,300000,2913232581,2024-11,1106,"c(-58.5831646, -34.5824587)",FALSE,300000,271.25,6250,5.65,7142.86,6.46,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-21T00:00:00Z,"2024-11-19T13:13:08,084000",2025-02-17T00:00:00,Inmobiliaria,Alquiler,41,39,1,2,Departamento,ARG,300000,300000,1922866047,2024-11,1106,"c(-58.5579903, -34.6035914)",FALSE,300000,271.25,7317.07,6.62,7692.31,6.96,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-28T08:04:59,991000",2025-02-26T00:00:00,Inmobiliaria,Alquiler,30,30,0,0,Departamento,ARG,250000,250000,1925993563,2024-11,1106,"c(-58.5597839, -34.6082535)",FALSE,250000,226.04,8333.33,7.53,8333.33,7.53,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-06T00:00:00Z,"2024-09-30T09:45:04,028000",2024-12-29T00:00:00,Inmobiliaria,Alquiler,30,28,1,1,Departamento,ARG,220000,220000,1905626551,2024-11,1106,"c(-58.5739905, -34.6055018)",FALSE,220000,198.92,7333.33,6.63,7857.14,7.1,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-22T00:00:00Z,"2024-11-14T10:19:11,407000",2025-02-12T00:00:00,Inmobiliaria,Alquiler,36,36,1,2,Departamento,ARG,270000,270000,2917094141,2024-11,1106,"c(-58.5397329, -34.6423678)",FALSE,270000,244.12,7500,6.78,7500,6.78,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-19T13:38:47,920000",2025-02-17T00:00:00,Inmobiliaria,Alquiler,107,107,2,3,Departamento,ARG,750000,750000,1922686935,2024-11,1106,"c(-58.5928442, -34.6019687)",FALSE,750000,678.12,7009.35,6.34,7009.35,6.34,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-11T00:00:00Z,"2024-11-04T09:52:52,173000",2025-08-01T00:00:00,Inmobiliaria,Alquiler,39,39,1,2,Departamento,ARG,380000,380000,2901196921,2024-11,1106,"c(-58.5922866, -34.604309)",FALSE,380000,343.58,9743.59,8.81,9743.59,8.81,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-23T00:00:00Z,"2024-11-20T10:51:48,957000",2025-02-18T00:00:00,Inmobiliaria,Alquiler,37,34,0,1,Departamento,ARG,270000,270000,1923222855,2024-11,1106,"c(-58.5939211, -34.5872853)",FALSE,270000,244.12,7297.3,6.6,7941.18,7.18,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-28T15:08:13,813000",2025-02-26T00:00:00,Inmobiliaria,Alquiler,87,39,1,2,Departamento,ARG,450000,450000,2935452821,2024-11,1106,"c(-58.5634631, -34.6094827)",FALSE,450000,406.87,5172.41,4.68,11538.46,10.43,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-18T00:00:00Z,"2024-11-11T11:49:16,263000",2025-02-09T00:00:00,Inmobiliaria,Alquiler,28,28,0,1,Departamento,ARG,240000,240000,2910827173,2024-11,1106,"c(-58.5357209, -34.6171624)",FALSE,240000,217,8571.43,7.75,8571.43,7.75,DP,17,06,06840010,José Ingenieros,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-11T00:00:00Z,"2024-09-18T15:38:01,084000",2024-12-17T00:00:00,Inmobiliaria,Alquiler,43,38,1,2,Departamento,ARG,320000,320000,2826103401,2024-11,1106,"c(-58.5509088, -34.5988948)",FALSE,320000,289.33,7441.86,6.73,8421.05,7.61,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-09-24T15:51:21,974000","2025-01-01T04:58:35,585000",Inmobiliaria,Alquiler,28,26,0,1,Departamento,ARG,300000,300000,1903840995,2024-11,1106,"c(-58.5622216, -34.6090162)",FALSE,300000,271.25,10714.29,9.69,11538.46,10.43,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-06T00:00:00Z,"2024-08-20T16:53:17,035000","2024-12-01T05:16:16,266000",Inmobiliaria,Alquiler,37,35,1,2,Departamento,ARG,270000,270000,1889366487,2024-11,1106,"c(-58.5606909, -34.6073209)",FALSE,270000,244.12,7297.3,6.6,7714.29,6.97,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-07T00:00:00Z,"2024-10-30T15:15:06,857000",2025-01-28T00:00:00,Inmobiliaria,Alquiler,43,40,1,2,Departamento,ARG,350000,350000,2894679609,2024-11,1106,"c(-58.5758527, -34.5997449)",FALSE,350000,316.46,8139.53,7.36,8750,7.91,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-27T00:00:00Z,"2024-11-19T14:50:38,153000",2025-02-17T00:00:00,Inmobiliaria,Alquiler,76,76,2,3,Departamento,ARG,370000,370000,1922853843,2024-11,1106,"c(-58.6076549, -34.5829617)",FALSE,370000,334.54,4868.42,4.4,4868.42,4.4,NA,24,10,06840010,Pablo Podestá,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-05T00:00:00Z,"2024-10-25T09:46:41,476000",2025-01-23T00:00:00,Inmobiliaria,Alquiler,58,51,1,2,Departamento,ARG,390000,390000,2886309849,2024-11,1106,"c(-58.5653455, -34.6028313)",FALSE,390000,352.62,6724.14,6.08,7647.06,6.91,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-28T16:46:40,070000",2025-02-26T00:00:00,Inmobiliaria,Alquiler,36,34,1,2,Departamento,ARG,400000,400000,1926248655,2024-11,1106,"c(-58.5595676, -34.603298)",FALSE,400000,361.66,11111.11,10.05,11764.71,10.64,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
